Split	SentIdx	StartPos	EndPos	Inner	Sentence	NEType	SourcePhrase	TargetNE	C	D	c	m	f	X	FL	TBD	AnnotationIssues	Comments
Test	1	11	11	0	1951 bis 1953 wurde der nördliche Teil als Jugendburg des Kolpingwerkes gebaut .	Other	Kolpingwerkes	Kolpingwerk	0	0	0	0	1	0	0	0		
Test	2	2	2	0	Da Muck das Kriegsschreiben nicht überbracht hat , wird er als Retter des Landes ausgezeichnet und soll zum Schatzmeister ernannt werden .	Person	Muck	Muck	0	0	0	0	0	0	0	0		
Test	3	6	7	0	Mit 1. Jänner 2007 wurde Robert Schörgenhofer , als Nachfolger des ausgeschiedenen Dietmar Drabek , in die Kaderliste der FIFA-Schiedsrichter aufgenommen .	Person	Robert Schörgenhofer	Robert Schörgenhofer	0	0	0	0	0	0	0	0		L
Test	3	13	14	0	Mit 1. Jänner 2007 wurde Robert Schörgenhofer , als Nachfolger des ausgeschiedenen Dietmar Drabek , in die Kaderliste der FIFA-Schiedsrichter aufgenommen .	Person	Dietmar Drabek	Dietmar Drabek	0	0	0	0	0	0	0	0		L
Test	3	20	20	0	Mit 1. Jänner 2007 wurde Robert Schörgenhofer , als Nachfolger des ausgeschiedenen Dietmar Drabek , in die Kaderliste der FIFA-Schiedsrichter aufgenommen .	Organisation-part	FIFA-Schiedsrichter	FIFA	1	0	0	0	0	0	0	0		
Test	4	4	4	0	Die These , Schlatter sei Antisemit gewesen , wurde seither in der theologischen Fachliteratur nicht mehr vertreten .	Person	Schlatter	Schlatter	0	0	0	0	0	0	0	0		
Test	5	2	2	1	“ Lehmbruck - Beuys .Zeichnungen “ lautet der Titel der gerade eröffneten Ausstellung , die Kuratorin Dr . Marion Bornscheuer bis zum 11. Januar im Lehmbruck-Museum präsentiert .	Person	Lehmbruck	Lehmbruck	0	0	0	0	0	0	0	0		
Test	5	2	5	0	“ Lehmbruck - Beuys .Zeichnungen “ lautet der Titel der gerade eröffneten Ausstellung , die Kuratorin Dr . Marion Bornscheuer bis zum 11. Januar im Lehmbruck-Museum präsentiert .	Other	Lehmbruck - Beuys .Zeichnungen	Lehmbruck - Beuys .Zeichnungen	0	0	0	0	0	0	0	0		L weil Titel einer Ausstellung keine "Person"
Test	5	4	4	1	“ Lehmbruck - Beuys .Zeichnungen “ lautet der Titel der gerade eröffneten Ausstellung , die Kuratorin Dr . Marion Bornscheuer bis zum 11. Januar im Lehmbruck-Museum präsentiert .	Person	Beuys	Beuys	0	0	0	0	0	0	0	0		
Test	5	19	20	0	“ Lehmbruck - Beuys .Zeichnungen “ lautet der Titel der gerade eröffneten Ausstellung , die Kuratorin Dr . Marion Bornscheuer bis zum 11. Januar im Lehmbruck-Museum präsentiert .	Person	Marion Bornscheuer	Marion Bornscheuer	0	0	0	0	0	0	0	0		L
